Name,Details,Matriculation Year,Placename
"Tyringham, Francis","s. Thomas, of Tyringham, Bucks, militis. Magdalen Coll., matric. 4 June, 1624, aged 17, B.A. 1 Feb., 1625-6; student of Middle Temple 1628; brother of John. See Foster's Inns of Court Reg. [30]",1624,bucks
"Tyringham, (Sir) John","s. Thomas, of Tyringham, Bucks, militis. Queen's Coll., matric. 14 Feb., 1622-3, aged 18; created D.Med. 31 Jan., 1642-3; of Tyringham, Bucks, high sheriff, knighted 12 Nov., 1642; died 2 May, 1645, and buried in St. Mary's church, Oxon; brother of Francis. See Fasti, ii. 48.",1622,bucks,oxon
"Tyringham, Thomas","of Bucks, eq. fil. Magdalen Coll., matric. 26 June, 1621, aged 16, died young; brother of William.",1621,bucks
"Tyrlinge, Robert","of Devon, pleb. Exeter Coll., matric. 4 May, 1621, aged 18, B.A. 17 Feb., 1624-5.",1621,devon
"Tyroe, Thomas","of Surrey, gent. Queen's Coll., matric. 28 April, 1615, aged 17, B.A. 25 June, 1618 (as Tysoe); M.A. from St. Edmund Hall 21 June, 1621; vicar of Alfriston, Sussex, 1626. See Foster's Index Eccl.",1615,surrey,sussex
"Tyrrell, John","of Essex, gent. Wadham Coll., matric. 7 Nov., 1617, aged 16, B.A. 18 May, 1620; student of Inner Temple 1620 (as son and heir of Thomas, of Butsbury, Essex, esq.). See Foster's Inns of Court Reg.",1617,essex
"Tyse, John","of Wilts, pleb. Exeter Coll., matric. 22 Feb., 1621-2, aged 19, B.A. 31 Jan., 1621-2, M.A. 10 June, 1624; rector of Orcheston St. George, Wilts, 1639. See Foster's Index Eccl.",1621,wilts
"Uncle, John","of Sussex, pleb. Balliol Coll., matric. 19 June, 1607, aged 16. [5]",1607,sussex
"Underhill, Thomas","of co. Warwick, gent. Magdalen Hall, matric. 11 Dec., 1607, aged 15. See Herald and Genealogist, ii. 130.",1607,warwick
"Underhill, William","of co. Stafford, pleb. Lincoln Coll., matric. 6 March, 1606-7, aged 18, B.A. 5 May, 1609.",1606,stafford,lincoln
"Underwood, Joseph","of Somerset, pleb. St. John's Coll., matric. 8 March, 1604-5, aged 20; B.A. from St. Edmund Hall 29 Nov., 1608; vicar of Sloley, Norfolk, 1619. See Foster's Index Eccl.",1604,somerset,norfolk
"Unwin, Roger","of co. Worcester, gent. Balliol Coll., matric. 19 June, 1607, aged 18 (subscribes ""Unvine"").",1607,worcester
"Upcott, William","of Devon, pleb. Exeter Coll., matric. 22 March, 1615-16, aged 19, B.A. 12 May, 1616; vicar of Clements, Cornwall, 1624, until ejected in 1662 for nonconformity. See Foster's Index Eccl. & Calamy, i. 349.",1615,devon,cornwall
"Uppington, John","of Somerset, pleb. Lincoln Coll., matric. 22 Oct., 1619, aged 15, B.A. 19 Feb., 1622-3; M.A. from Pembroke Coll. 23 June, 1625; rector of Withycombe, Somerset, 1640. See Foster's Index Eccl.",1619,somerset,lincoln,pembroke
"Upton, John","of Devon, arm. Lincoln Coll., matric. 29 Nov., 1605, aged 15, B.A. 9 June, 1608; student of Inner Temple 1610, as of Lupton, Devon, gent. (1s. Arthur, of Brixham), M.P. Clifton-Dartmouth-Hardness 1625, 1626, 1628-9, April-May 1640, and 1640 (L.P.), till his death 11 Sept., 1641. See Foster's Parliamentary Dictionary. [15]",1605,devon,lincoln
"Urmston, Ralph","of co. Lancaster, pleb. Brasenose Coll., matric. 2 Nov., 1621, aged 18, B.A. 15 Feb., 1625-6.",1621,lancaster
"Urry, Robert","of isle of Wight, gent. Hart Hall, matric. 13 Feb., 1606-7, aged 17.",1606,wight
"Vachel, Tanfield","of Berks, gent. Exeter Coll., matric. 17 Dec., 1619, aged 18, B.A. 27 June, 1622; student of Lincoln's Inn 1633, as of Coley, Berks, esq. (s. Francis), M.P. Reading circa Oct., 1645 (L.P.), till secluded in Dec., 1648; buried 1 June, 1658. See Foster's Parliamentary Dictionary.",1619,berks
"Vachell, Thomas","of Northants, pleb. Brasenose Coll., matric. 2 Nov., 1621, aged 18, B.A. 27 June, 1622.",1621,northants
"Vade, John","of co. Gloucester, pleb. Magdalen Hall, matric. 7 June, 1616, aged 15, B.A. 3 Feb., 1619-20, M.A. 2 July, 1622, B.D. 26 May, 1631; rector of Oddington, co. Gloucester, 1631. See Foster's Index Eccl.",1616,gloucester
"Vanne, Robert","s. Thomas, of Caerwent, co. Monmouth, gent. Jesus Coll., matric. 31 Jan., 1622-3, aged 21, B.A. 13 Feb., 1622-3. [25]",1622,monmouth
"Vane, (Sir) Henry","of Kent, arm. fil. nat. max. Brasenose Coll., matric. 15 June, 1604, aged 15; of Raby Castle, co. Durham (s. Henry Fane, see page 482), changed his name to Vane; a student of Gray's Inn 1606, as of Hadlow, Kent, knighted 28 March, 1611; M.P. Lostwithiel 1614, Carlisle 1621, 1624-6, Thetford March, 1628-9, Wilton April-May, 1640, 1640-53, and Kent 1654, secretary of state 1640-1, etc.; died 1654; father of Charles, Edmund, and Walter; for the biography of his son Sir Henry see Ath. iii. 578. See Foster's Peerage, D. Cleveland.",1604,kent,durham
"Va(u)ghan, Benjamin","of London, arm. Trinity Coll., matric. 20 March, 1606-7, aged 17, B.A. 28 Nov., 1610; M.A. from Broadgates Hall 17 June, 1613; rector of Charlinch, Somerset, 1617. See Foster's Index Eccl.",1606,london,somerset
"Vaughan, Charles","of co. Brecon, arm. Brasenose Coll., matric. 22 Feb., 1604-5, aged 17; student of Inner Temple 1608, as of Tretower, co. Brecon, gent. See Foster's Inns of Court Reg.",1604,brecon
"Va(u)ghan, Charles","of London, arm. Trinity Coll., matric. 11 April, 1606, aged 20.",1606,london
"Vaughan, Edmund","of Surrey, cler. fil. Corpus Christi Coll., matric. entry 9 Nov., 1621, aged 12, chorister 1612, scholar, B.A. 14 Oct., 1628, fellow, M.A. 27 Jan., 1631-2, B.D. 6 Feb., 1639-40 (s. Griffin, vicar of Ashtead, Surrey), rector of Pitsford, Northants, 1640, ejected 1644, restored 1660, until his death on the day of the purification of the B.V.M. See Ath. iii. 886; & Add. MS. 15,671, p. 36. [30]",1621,surrey,northants
"Vaughan, Edward","of co. Montgomery, pleb. Corpus Christi Coll., matric. 22 Feb., 1604-5, aged 19, B.A. 30 May, 1608.",1604,montgomery
"Vaughan, Edward","of co. Denbigh, cler. fil. Jesus Coll., matric. 24 Nov., 1615, aged 16, B.A. 8 Dec., 1619, M.A. 29 June, 1622.",1615,denbigh
"Vaughan, Edward","of co. Hereford, arm. fil. nat. max. Brasenose Coll., matric. 28 Jan., 1619-20, aged 18.",1619,hereford
"Vaughan, George","of Somerset, militis fil. Queen's Coll., matric. 4 Nov., 1608, aged 15, B.A. 3 June, 1611, as ""eq. aur. fil."" and as ""arm. fil.""",1608,somerset
"Vaughan, Henry","s. Edward, of Trawscoed, co. Cardigan, gent. Jesus Coll., matric. 30 April, 1624, aged 18. [21]",1624,cardigan
"Vaughan, Hugh","of Somerset, gent. Oriel Coll., matric. 10 Nov., 1620, aged 17.",1620,somerset
"Vaughan, Hugh","of co. Merioneth, pleb. Hart Hall, matric. 9 Nov., 1621, aged 19, B.A. 23 Feb., 1621-2.",1621,merioneth
"Vaughan, James","of co. Hereford, gent. St. Mary Hall, matric. 16 Nov., 1621, aged 18; student of Lincoln's Inn 1621 (as son and heir of John, of Hargest, co. Hereford, esq.); died in 1640. See Foster's Inns of Court Reg.",1621,hereford
"Vaughan, John","of co. Carnarvon, arm. fil. nat. max. Brasenose Coll., matric. 11 May, 1604, aged 19; perhaps student of Lincoln's Inn 1606. See Foster's Inns of Court Reg.",1604,carnarvon
"Vaughan, John","of co. Montgomery, pleb. Jesus Coll., matric. 18 May, 1604, aged 16, B.A. 6 Feb., 1607-8, M.A. 9 July, 1612, then in orders; perhaps vicar of Beccles, Suffolk, 1614-38, vicar of Llanstadwell, co. Pembroke, 1620-3, or rector of Garthbeibio, co. Montgomery, Jan.-Dec., 1628. See Foster's Index Eccl.",1604,montgomery,suffolk,pembroke
"Vaughan, John","of co. Hereford, gent. Trinity Coll., matric. 26 July, 1605, aged 16; perhaps student of Gray's Inn 14 or 15 March, 1608-9. See Foster's Gray's Inn Reg.",1605,hereford
"Vaughan, Richard","of co. Carnarvon, arm. Brasenose Coll., matric. entry 11 May, 1604, aged 14.",1604,carnarvon
"Vaughan, Richard","of London, pleb. Christ Church, matric. 14 March, 1616-17, aged 19, B.A. 8 May, 1618, M.A. 29 May, 1622; student from Westminster school 1614. See Al. West. 83.",1616,london,westminster
"Vaughan, Richard","of Surrey, cler. fil. Corpus Christi Coll., matric. 9 Nov., 1621, aged 15, B.A. 4 Feb., 1623-4; M.A. from Jesus Coll, 5 July, 1626; one of these names rector of Coddington, Cheshire, 1642. See Foster's Index Eccl.",1621,surrey,cheshire
"Vaughan, Robert (Vychan)","of co. Merioneth, gent. Oriel Coll., matric. 4 Dec., 1612, aged 20; of Hengwrt, co. Merioneth, Welsh antiquary, and historian (o.s. of Howell, of Wencraig, co. Merioneth); died 16 May, 1667. See Ath. iii. 728.",1612,merioneth
"Vaughan, Robert","s. Robert, of Ludlow, Salop, pleb. Jesus Coll., matric. 30 April, 1624, aged 16; B.A. 2 June, 1627; student of Inner Temple 1624. See Foster's Inns of Court Reg. [5]",1624,salop
"Vaughan, Roger","of co. Hereford, arm. fil. nat. max. Brasenose Coll., matric. 11 May, 1604, aged 15, student of Middle Temple 1605 (as son and heir of Henry, of Bredwardine, co. Hereford); father of Walter 1641. See Foster's Inns of Court Reg.",1604,hereford
"Vaughan, Thomas","of co. Carnarvon, arm. Brasenose Coll., matric. 11 May, 1604, aged 16.",1604,carnarvon
"Vaughan, William","of co. Brecon, gent. Broadgates Hall, matric. 24 Nov., 1609, aged 19; perhaps B.A. from Jesus Coll. 13 Feb., 1609-10, M.A. 6 July, 1613.",1609,brecon
"Vaughan, William","of co. Hereford, arm. fil. nat. (2). Brasenose Coll., matric. 28 Jan., 1619-20, aged 16, B.A. 18 July, 1623; M.A. from Jesus Coll. 26 Oct., 1626; perhaps rector of Llanfairfechan, co. Carnarvon, 1632, and of Festiniog with Maentwrog, co. Merioneth, 1635, chancellor of Bangor 6 Dec., 1636. See Foster's Index Eccl.",1619,hereford,carnarvon,merioneth
"Vaux, Francis","born in Gloucester, s. James, of Merston in parish Hampton-Meysey, Wilts, gent. Broadgates Hall, matric. 12 Dec., 1623, aged 22; B.Med. (Pembroke Coll.) 28 April, 1626.",1623,gloucester,wilts
"Vawer, John","of Bristol, arm. Hart Hall, matric. 14 Dec., 1604, aged 16; B.A. from Christ Church 9 June, 1608, M.A. 18 April, 1611; vicar of Market or East Lavington, Wilts, 1625. See Foster's Index Eccl.",1604,bristol,wilts
"Veale, George","s. Richard, of Gulvall, Cornwall, sacerd. Exeter Coll., matric. 28 May, 1624, aged 20.",1624,cornwall
"Venables, John","of Southants, gent. Hart Hall, matric. 23 Nov., 1621, aged 18; perhaps of Ropley, Hants, 1s. Nic(olas), and brother of Richard.",1621,southants,hants
"Venables, Richard","of Southants, gent. Oriel Coll., matric. 1 June, 1621, aged 16; perhaps of Andover, Hants; (1s. of Nicholas), and brother of John. See Berry's Hants, 221.",1621,southants,hants
"Venables, Thomas","of Bucks, gent. Magdalen Hall, matric. 29 Nov., 1616, aged 18, B.A. 29 Jan., 1616-17, M.A. 11 Dec., 1619.",1616,bucks
"Venne, Richard","of Devon, pleb. Exeter Coll., matric. 16 April, 1619, aged 18, B.A. 10 May, 1620; vicar of Otterton, Devon, 1625. See Foster's Index Eccl.",1619,devon
"Venner, John","3s. Tobias, of Bridgewater, Somerset, D.Med. Trinity Coll., matric. entry 22 Oct., 1624, aged 14; perhaps graduated as William, whom see; brother of Tobias 1627. [10]",1624,somerset
"Venner, Richard (Venar)","of co. Warwick, pleb. Queen's Coll., matric. 10 Nov., 1615, aged 17, B.A. 3 June, 1619; M.A. from Magdalen Hall 9 May, 1622; rector of Churchlench, co. Worcester, 1620, and vicar of Warwick St. Mary 1639. See Foster's Index Eccl.",1615,warwick,worcester
"Verall, Francis","of Kent, gent. Queen's Coll., matric. 7 June, 1616, aged 17.",1616,kent
"Vere, Thomas","of Oxon, pleb. Lincoln Coll., matric. entry 1 July, 1603, aged 13; B.A. from Magdalen Coll. 6 July, 1610.",1603,oxon,lincoln
"Verneuil, John","of 'Gallus,' 'gent. condit.' Magdalen Coll., matric. 4 Nov., 1608, aged 25; incorporated M.A. of Mountauban 13 Dec., 1625, a 'French refugee,' 2nd keeper of Bodley's library; died at Oxford Sept., 1647. See Ath. iii. 221.",1608,oxford
"Verney, (Sir) Edmund","of Middx., militis fil. St. Alban Hall, matric. 9 March, 1603-4, aged 14; of Middle Claydon, Bucks, knighted 7 Jan., 1610, knight marshal and standard-bearer to Charles I. (s. Sir Edmund); M.P. Buckingham 1624-5, New Romney 1625, Aylesbury 1628-9, Chipping Wycombe April-May 1640, and 1640 (L.P.) till killed at the battle of Edge Hill 23 Oct., 1642; half-brother of Francis 1600, and father of Edmund next-named. See Foster's Parliamentary Dictionary.",1603,middx,bucks,buckingham
"Vernon, Edward","of co. Worcester, gent. Balliol Coll., matric. 28 June, 1604, aged 15; perhaps brother of John 1619, and father of Thomas 1639.",1604,worcester
"Vernon, George","s. George, of Davenham, Cheshire, pleb. Pembroke Coll., matric. 10 Feb., 1625-6, aged 30. [25]",1625,cheshire,pembroke
"Vernon, John","of co. Worcester, cler. fil. Balliol Coll., matric. 15 Oct., 1619, aged 18, B.A. 19 Oct., 1620, M.A. 18 June, 1623; (4s. Richard, rector of Hanbury), rector of Hanbury, co. Worcester, 1624; father of John 1651. See Foster's Index Eccl.",1619,worcester
"Vernon, (Sir) Thomas","of co. Stafford, arm. fil. Balliol Coll. matric. 26 Oct., 1604, aged 17 (2s. Walter); brother of Edward 1602, and Walter 1604, and possibly father of James 1656. [21]",1604,stafford
"Vernon, Walter","of co. Stafford, arm. Balliol Coll., matric. 26 Oct., 1604, aged 15; bar.-at-law, Inner Temple, 1617, as of Sudbury, co. Derby (3s. Walter, of Houndshill, co. Stafford); brother of Edward 1602, and Thomas 1604. See Foster's Judges and Barristers. [25]",1604,stafford,derby
"Vertue, Owen","of London, pleb. St. John's Coll., matric. 13 July, 1604, aged 18, B.A. 27 June, 1608, M.A. 9 May, 1612; admitted to Merchant Taylors' school 1600. See Robinson, i. 42.",1604,london
"Vesey, Robert (Veysey)","of Oxon, pleb. Queen's Coll., matric. 15 May, 1618, aged 18, B.A. 29 Nov., 1621, M.A. 5 July, 1624.",1618,oxon
"Vic, (Sir) Henry de","of co. Southampton, arm. fil. nat. max. Christ Church, matric. 12 Nov., 1619, aged 20, B.A. 17 Dec., following; created D.Med. 28 Sept., 1663, then of Guernsey, bart., so created 3 Sept., 1649, resident at Brussels for Charles I. near 20 years, chancellor of the order of the garter 1660, and secretary for the French tongue 1660, comptroller to the Duke of York 1662, died 20 Nov., 1672, buried in Westminster abbey. See Fasti, ii. 275; Al. West. 85; & West. Abbey Reg. 175.",1619,southampton,york,westminster
"Vicars, Thomas","of Cumberland, pleb. Queen's Coll., matric. 19 June, 1607, aged 16, B.A. 16 Dec., 1611, M.A. 17 June, 1615, fellow 1616, B.D. and licenced to preach 10 May, 1622; vicar of Cowfold 1622, and Cuckfield, Sussex, 1622, canon of Chichester 1624. See Ath. ii. 443; & Foster's Index Eccl.",1607,cumberland,sussex
"Vicary, Richard (Vicarie)","of Devon, gent. Oriel Coll., matric. 11 April, 1617, aged 17.",1617,devon
"Vigures, Christopher","of Devon, pleb. Exeter Coll., matric. 7 April, 1609, aged 20, B.A. 21 Jan., 1612-13, M.A. 26 June, 1615.",1609,devon
"Vilett, Nicholas (Vylett)","of Wilts, gent. St. John's Coll., matric. 13 Oct., 1615, aged 15, B.A. 12 May, 1619, M.A. 26 April, 1623, B.D. 12 May, 1630; incorporated at Cambridge 1633; vicar of West Alvington, Devon, 1635, rector of Islip, Oxon, 1639. See Foster's Index Eccl. [30]",1615,wilts,cambridge,devon,oxon
"Vincent, John","of Cornwall, gent. New Coll., matric. 15 Dec., 1609, aged 18; student of Lincoln's Inn 1612 (as son and heir of Thomas, of Northill, Cornwall, esq.), took orders; father of Thomas 1651, and of Nathaniel 1655. See Foster's Inns of Court Reg. & Al. West. 129.",1609,cornwall
"Viney, Robert","of Dorset, gent. Magdalen Hall, matric. entry 9 March, 1621-2, aged 14, B.A. 14 Feb., 1625-6, M.A. 25 June, 1628; perhaps rector of Barnack, Northants, 1653. See Foster's Index Ecclesiasticus.",1621,dorset,northants
"Vivian, Hannibal (Vyvyan)","of Cornwall, arm. Exeter Coll., matric. 15 Nov., 1605, aged 15, B.A. 19 June, 1609; of Lostwithiel (son of Hannibal), baptised at Mawgan in Meneage, governor of St. Mawes Castle, keeper of the gaol at Lostwithiel, and controller of the tin coinage, M.P. St. Mawes 1628-9; died about 1647; brother of Francis 1594, and of John 1597. See Vivian's Cornish Visitations & Foster's Parliamentary Dictionary.",1605,cornwall
"Vivian, Michael","of Cornwall, gent. Exeter Coll., matric. 28 June, 1616, aged 20, B.A. 23 Oct., 1616; bar.-at-law, Middle Temple, 1626 (as 3s. Thomas, late of St. Columb, Cornwall, gent., deceased); buried in the Temple church 20 Sept., 1630. See Foster's Judges and Barristers.",1616,cornwall
"Vizer, Robert","of Somerset, cler. fil. St. Mary Hall, matric. 18 Oct., 1616, aged 19, B.A. 24 Oct., 1616; vicar of Locking 1618, and rector of Tellisford, Somerset, 1633. See Foster's Index Eccl.",1616,somerset
"Vowells, William","of Dorset, pleb. Wadham Coll., matric. 17 June, 1621, aged 18. [10]",1621,dorset
"Voyle, William (Voile)","of co. Hereford, pleb. Brasenose Coll., matric. 8 Dec., 1609, aged 15; B.A. from Oriel Coll. 17 June, 1613; rector of Radwinter, Essex, and one of the 4 ministers of the cathedral church of Hereford by the Westminster assembly of divines, but ejected in 1662 for nonconformity. See Add. MSS. 15,669-70-71; & Calamy, ii. 289.",1609,hereford,essex,westminster
"Voysey, James (Voyzey)","of Devon, pleb. Exeter Coll., matric. 9 March, 1603-4, aged 19, ""paup. schol."" B.A. 3 July, 1606. [15]",1603,devon
"Voysey, Walter","of Devon, gent. Balliol Coll., matric. 1 July, 1603, aged 18, B.A. 23 Jan., 1606-7, M.A. 14 Oct., 1609, subscribes as ""Veysey.""",1603,devon
"Waddington, Matthew","of Yorks, pleb. University Coll., matric. 16 June, 1610, aged 20, B.A. 18 Jan., 1610-11, M.A. 8 July, 1614; vicar of Chesterfield, co. Derby, 1616. See Foster's Index Ecclesiasticus.",1610,yorks,derby
"Waddington, Nicholas","of Yorks, pleb. University Coll., matric. 16 June, 1610, aged 18, B.A. 6 Feb., 1611-12, M.A. 7 July, 1615; rector of Luckington, Wilts, 1623. See Foster's Index Eccl.",1610,yorks,wilts
"Waddon, John","of Devon, gent. Exeter Coll., matric. 15 Nov., 1605, aged 15, B.A. 19 June, 1609, M.A. 4 May, 1612; for one of these names see Foster's Parliamentary Dictionary. [15]",1605,devon
"Wade, Richard","of co. Glamorgan, gent. Jesus Coll., matric. 12 May, 1615, aged 17, B.A. 9 Feb., 1617-18; vicar of St. Donat's, co. Glamorgan, 1637. See Foster's Index Eccl. [10]",1615,glamorgan
"Wade, Samuel","of Somerset, pleb. Broadgates Hall, matric. 29 Jan., 1618-19, aged 19, B.A. 21 June, 1620; rector of Rowberrow, Somerset, 1624. See Foster's Index Eccl.",1618,somerset
"Wade, Thomas","of co. Gloucester, pleb. Oriel Coll., matric. 16 Nov., 1621, aged 18; student of Inner Temple 1624, as son and heir of Thomas, of Micheldean, co. Gloucester, gent. See Foster's Inns of Court Reg.",1621,gloucester
"Wadland, Thomas","s. George, of Leicester (town), pleb. Magdalen Coll., matric. 16 April, 1624, aged 18.",1624,leicester
"Wagstaffe, Henry","s. Richard, of Harbury, co. Warwick, pleb. Magdalen Hall, matric. 31 Oct., 1623, aged 19; B.A. from Pembroke Coll. 15 Feb., 1625-6.",1623,warwick,pembroke
"Wagstaffe, John","of co. Warwick, cler. fil. Magdalen Coll., matric. 26 June, 1621, aged 17, demy 1619-24, B.A. 11 Dec., 1622; perhaps bar.-at-law, Middle Temple, 1632 (as son and heir of Richard, of Harbury, co. Warwick, gent.); another rector of Wollaton, 1628, and of Bilborough, Notts, 1641. See Thomas 1585; Bloxam, v. 103; & Foster's Judges and Barristers.",1621,warwick,notts
"Wakeham, John","of Devon, pleb. Exeter Coll., matric. 3 June, 1603, aged 18, B.A. 28 June, 1606, as Wakeman.",1603,devon
"Wakeman, Edward","of co. Gloucester, arm. Balliol Coll., matric. 16 June, 1610, aged 17, student of Inner Temple, 1611, as of Beckford, co. Gloucester, gent. See Foster's Inns of Court Reg. [5]",1610,gloucester
"Wakeman, Edward","of co. Gloucester, gent. Oriel Coll., matric. 11 April, 1617, aged 17, student of Inner Temple 1618, as son of Edward, of the Mythe, co. Gloucester, esq. See Foster's Inns of Court Register.",1617,gloucester
"Waldron, Francis","of Somerset, gent. Brasenose Coll., matric. 3 June, 1603, aged 20.",1603,somerset
"Waldron, Laurence","of Somerset, arm. Oriel Coll., matric. entry 10 July, 1607, aged 12.",1607,somerset
"Wales, Henry Frederick, Prince","of, Magdalen Coll., matric. Aug., 1605 (eldest son James I.); died 6 Nov., 1612, aged 18. See Foster's Peerage & Fasti, i. 316.",1605
"Walkeden, Francis","of co. Lancaster, pleb. Brasenose Coll., matric. 28 Feb., 1619-20, aged 21, B.A. 23 May, 1622.",1619,lancaster
"Walkeden, Henry","s. Matthew, of Pitchcote, Bucks, sacerd. Trinity Coll., matric. 7 May, 1624, aged 17, B.A. 11 Feb., 1627-8; M.A. from Wadham Coll. 9 July, 1630; rector of Pitchcott 1633. See Foster's Index Eccl.",1624,bucks
"Walker, Edward","s. William, of Clee-Stanton, Salop, pleb. St. Mary Hall, matric. 26 Nov., 1624, aged 17, B.A. 18 Feb., 1627-8, M.A. 14 April, 1630; perhaps rector of Shenington, co. Gloucester, 1635, and rector of Oldbury, Salop, 1667. See Foster's Index Eccl. [20]",1624,salop,gloucester
"Walker, James","of London, pleb. Queen's Coll., matric. 28 April, 1615, aged 15, B.A. 23 Oct., 1617, M.A. 6 July, 1620.",1615,london
"Walker, John","of co. Stafford, pleb. Oriel Coll., matric. 16 June, 1615, aged 17; brother of Walter 1615.",1615,stafford
"Walker, Thomas","of co. Warwick, cler. fil. Hart Hall, matric. 21 June, 1616, aged 20, B.A. 7 Feb., 1619-20, M.A. 21 Feb., 1622-3; vicar of Leamington Priors, co. Warwick, 1634. See Foster's Index Eccl.",1616,warwick
"Walker, Thomas","of co. Worcester, pleb. Magdalen Hall, matric. 26 June, 1621, aged 19, B.A. 24 Oct., 1622; perhaps created M.A. 21 Feb., 1642-3. [26]",1621,worcester
"Walker, (Sir) Walter","of co. Stafford, pleb. fil. Oriel Coll., matric. 16 June, 1615, aged 15; LL.B. from Christ's Coll., Cambridge, 1628, LL.D. 1640; of Bushey Hall, Herts, and of Stretham, isle of Ely, admitted to Inner Temple 1642, an advocate of Doctors' Commons 10 Feb., 1657, advocate to Queen Catherine, wife of Charles II., judge of the admiralty and of the prerogative court of Canterbury, knighted 18 April, 1661; brother of John 1615. See Coote's Civilians, 84.",1615,stafford,cambridge,herts
"Walker, William","of co. Worcester, pleb. Balliol Coll., matric. 22 Nov., 1611, aged 21, B.A. 4 May, 1615.",1611,worcester
"Walker, William","s. Roger, of Reading, Berks, pleb. St. John's Coll., matric. 11 July, 1623, aged 19.",1623,berks
"Wall, George","of Wilts, cler. fil. Queen's Coll., matric. 26 Oct., 1604, aged 19; B.A. from St. John's Coll. 6 June, 1608. [21]",1604,wilts
"Walle, George","of co. Worcester, cler. fil. Brasenose Coll., matric. 23 April, 1619, aged 17, B.A. 17 Feb., 1622-3, M.A. 1 July, 1625; rector of Rushock 1632, and vicar of Grimley, (both) co. Worcester, 1638. See Foster's Index Eccl.",1619,worcester
"Wall, Humphrey","of Wilts, cler. fil. Queen's Coll., matric. entry 26 Oct., 1604, aged 13; B.A. from Gloucester Hall 10 June, 1608; vicar of Stapleford, Wilts, 1622. See Foster's Index Eccl. [25]",1604,wilts,gloucester
"Wall, John","of Wilts, cler. fil. Queen's Coll., matric. 26 Oct., 1604, aged 17; B.A. from St. John's Coll. 6 June, 1608.",1604,wilts
"Wall, John","of London, gent. Christ Church, matric. 23 Nov., 1604, aged 16; student from Westminster school 1604, B.A. 9 June, 1608, M.A. 18 April, 1611, B.D. 24 Nov., 1618, licenced to preach 3 Dec., 1618, D.D. 14 Oct., 1623, and canon 1632; rector of St. Aldates, Oxford, 1617, vicar of Chalgrove, Oxon, 1637, canon of Sarum 1644; died 20 Oct., 1666, buried in the cathedral of Christ Church. See Ath. iii. 734; Al. West. 72; Burrows, 491; & Foster's Index Eccl.",1604,london,westminster,oxford,oxon,sarum
"Wall, John","of co. Gloucester, cler. fil. St. Alban Hall, matric. 13 Feb., 1606-7, aged 17; one of these names rector of Burthorpe, co. Gloucester, 1622. See Foster's Index Eccl.",1606,gloucester
"Walle, John","of co. Worcester, cler. fil. Brasenose Coll., matric. 15 May, 1618, aged 19, B.A. 9 Nov., 1620, M.A. 7 July, 1625; rector of Rouslench, co. Worcester, 1640; father of John 1664. See Foster's Index Eccl. [35]",1618,worcester
"Wall, Pauncefoote","s. William, of Dimmock, co. Gloucester, gent. Oriel Coll., matric. 31 May, 1622, aged 17, B.A. 22 Nov., 1625, M.A. 22 Oct., 1629; father of Robert 1665.",1622,gloucester
"Wall, Richard","of Wilts, cler. fil. Queen's Coll., matric. 26 Oct., 1604, aged 16; B.A. from Gloucester Hall 10 June, 1608.",1604,wilts,gloucester
"Wall, Thomas","of co. Gloucester, gent. Oriel Coll., matric. 24 April, 1618, aged 18, B.A. 22 Jan., 1620-1, M.A. from King's Coll., Cambridge, 1639; one of these names minister of chapel of Murston, Kent, 1638, and rector of Guildford St. Trinity, Surrey, 1642, until sequestered 29 April, 1645, by the Westminster assembly, for his ""scandalous life, drunkenness, and other misdemeanours,"" See Foster's Index Eccl.; & Add. MS. 15,669, p. 83.",1618,gloucester,cambridge,kent,surrey,westminster
"Wall, Thomas","s. Thomas, of Applethwaite, Cumberland, pleb. Queen's Coll., matric. 12 Dec., 1623, aged 17, (subscribes ""Wallus"").",1623,cumberland
"Wall, Thomas","s. John, of Bronwell, Somerset, pleb. Exeter Coll., matric. 18 March, 1624-5, aged 18.",1624,somerset
"Waller, Edmund","of Bucks, arm. Christ Church, matric. 3 June, 1608, aged 15; student of Gray's Inn 1608 (as son and heir of Thomas). See Foster's Gray's Inn Reg.",1608,bucks
"Waller, John","of Berks, pleb. Magdalen Hall, matric. 13 April, 1621, aged 20, B.A. 21 April, 1621, M.A. 28 Jan., 1623-4.",1621,berks
"Waller, William","of Kent, militis fil. Magdalen Hall, matric. 2 Dec., 1612, aged 15; of Groombridge, Kent (son of Sir Thomas); served in the army of the confederated princes against the German emperor; knighted at Wanstead 20 June, 1622, admitted to Gray's Inn 1632, M.P. Andover (May) 1642, till secluded in Dec., 1648, one of the council of state, and M.P. Middlesex 1660, a general for the parliament, but eventually impeached by the army of high treason, imprisoned in the Tower during the reign of Oliver; died 19 Sept., 1668. See Ath. iii. 814; & Foster's Parliamentary Dictionary. [15]",1612,kent,middlesex
"Wallis, Knightley","of Northants, pleb. Hart Hall, matric. 25 Oct., 1616, aged 18, B.A. 6 Nov., 1619, M.A. 6 July, 1622.",1616,northants
"Wallis, William","of Wilts, gent. Magdalen Hall, matric. 8 March, 1604-5, aged 17; student of Middle Temple 1606, as 5s. Thomas, of Trowbridge, Wilts, gent., deceased. See Foster's Inns of Court Reg.",1604,wilts
"Wallis, William","of Northants, pleb. St. John's Coll., matric. 30 June, 1615, aged 18, B.A. 25 Feb., 1616-17, M.A. 2 Dec., 1619.",1615,northants
